route,source,location,before,after,reason
"/dr12-afir","config/seo-programs.json","pages.0.audience.2","Solicitanți care pot susține cofinanțarea, calendarul de implementare și documentele APIA, ANSVSA, fiscale și juridice cerute de apel.","Solicitanți care pot susține contribuția proprie, calendarul de implementare și documentele APIA, ANSVSA, fiscale și juridice cerute de apel.","Lexic controlat P0.14"
"/dr12-afir","config/seo-programs.json","pages.0.eligibility.0","Verifică vârstă și încadrarea în categoria de tânăr fermier la data stabilita de ghidul activ.","Verifică vârstă și încadrarea în categoria de tânăr fermier la data stabilita de documentul oficial aplicabil.","Lexic controlat P0.14"
"/dr12-afir","config/seo-programs.json","pages.0.mandatory.0","Stabilirea formei juridice și verificarea eligibilității solicitantului înainte de construirea bugetului.","Stabilirea formei juridice și verificarea inițială a eligibilității solicitantului înainte de construirea bugetului.","Lexic controlat P0.14"
"/dr12-afir","config/seo-programs.json","pages.0.mandatory.2","Buget separat pentru grant, cofinanțare, TVA, costuri neeligibile și rezerve de preț.","Buget separat pentru grant, contribuție proprie, TVA, costuri neeligibile și rezerve de preț.","Lexic controlat P0.14"
"/dr12-afir","config/seo-programs.json","pages.0.mandatory.4","Respectarea perioadelor de implementare și monitorizare mentionate în ghidul activ.","Respectarea perioadelor de implementare și monitorizare mentionate în documentul oficial aplicabil.","Lexic controlat P0.14"
"/dr12-afir","config/seo-programs.json","pages.0.eligibleExpenses.1","Constructii, modernizari sau dotări pentru activitatea agricolă, dacă sunt permise în ghidul activ.","Constructii, modernizari sau dotări pentru activitatea agricolă, dacă sunt permise în documentul oficial aplicabil.","Lexic controlat P0.14"
"/dr12-afir","config/seo-programs.json","pages.0.steps.2","Structuram bugetul pe grant, cofinanțare, TVA și cheltuieli neeligibile.","Structuram bugetul pe grant, contribuție proprie, TVA și cheltuieli neeligibile.","Lexic controlat P0.14"
"/dr12-afir","config/seo-programs.json","pages.0.examples.2","Fermă mixta care vrea investiții etapizate, cu buget realist și cofinanțare confirmata înainte de depunere.","Fermă mixta care vrea investiții etapizate, cu buget realist și contribuție proprie confirmata înainte de depunere.","Lexic controlat P0.14"
"/dr12-afir","config/seo-programs.json","pages.0.faq.1.1","Nu. Documentul folosit pentru această pagină este versiunea consultativă. Regulile finale se confirmă numai în ghidul activ aprobat și în anexele sesiunii.","Nu. Documentul folosit pentru această pagină este versiunea consultativă. Regulile finale se confirmă numai în documentul oficial aplicabil aprobat și în anexele sesiunii.","Lexic controlat P0.14"
"/dr12-afir","config/seo-programs.json","pages.0.faq.4.1","Se corelează înregistrările APIA, ANSVSA/DSVSA și ANZ, documentele de folosință, actele formei juridice și verificările ONRC, împreună cu documentația investiției și cofinanțarea.","Se corelează înregistrările APIA, ANSVSA/DSVSA și ANZ, documentele de folosință, actele formei juridice și verificările ONRC, împreună cu documentația investiției și contribuția proprie.","Lexic controlat P0.14"
"/dr12-afir","config/seo-programs.json","pages.0.related.4.label","Verificare eligibilitate","Verificare inițială a eligibilității","Lexic controlat P0.14"
"/dr12-afir","config/seo-programs.json","pages.0.applicantRows.0.1","Tânăr fermier sau alta categorie eligibilă mentionata în ghidul activ.","Tânăr fermier sau alta categorie eligibilă mentionata în documentul oficial aplicabil.","Lexic controlat P0.14"
"/dr12-afir","config/seo-programs.json","pages.0.applicantRows.2.3","Ghidul activ","Documentul oficial aplicabil","Lexic controlat P0.14"
"/dr12-afir","config/seo-programs.json","pages.0.applicantRows.3.0","Cofinanțare","Contribuție proprie","Lexic controlat P0.14"
"/dr12-afir","config/seo-programs.json","pages.0.eligibleInvestmentRows.0.3","Ghidul activ","Documentul oficial aplicabil","Lexic controlat P0.14"
"/dr12-afir","config/seo-programs.json","pages.0.eligibleInvestmentRows.1.3","Ghidul activ","Documentul oficial aplicabil","Lexic controlat P0.14"
"/dr12-afir","config/seo-programs.json","pages.0.eligibleInvestmentRows.2.3","Ghidul activ","Documentul oficial aplicabil","Lexic controlat P0.14"
"/dr12-afir","config/seo-programs.json","pages.0.eligibleInvestmentRows.3.3","Ghidul activ","Documentul oficial aplicabil","Lexic controlat P0.14"
"/dr12-afir","config/seo-programs.json","pages.0.cofinancingTitle","Finanțare și cofinanțare DR12","Finanțare și contribuție proprie DR12","Lexic controlat P0.14"
"/dr12-afir","config/seo-programs.json","pages.0.documentRows.3.3","Cofinanțare, TVA și costuri neeligibile estimate separat.","Contribuție proprie, TVA și costuri neeligibile estimate separat.","Lexic controlat P0.14"
"/dr12-afir","config/seo-programs.json","pages.0.commonMistakes.3","Buget care ignora cofinanțarea, TVA sau costurile neeligibile.","Buget care ignora contribuția proprie, TVA sau costurile neeligibile.","Lexic controlat P0.14"
"/dr12-afir","config/seo-programs.json","pages.0.caseExample.checked","Forma solicitantului, calcul SO, documente de folosință, oferte, cofinanțare și riscul de dublare cu alte programe","Forma solicitantului, calcul SO, documente de folosință, oferte, contribuție proprie și riscul de dublare cu alte programe","Lexic controlat P0.14"
"/dr12-afir","config/seo-programs.json","pages.0.contentSections.2.title","Cum tratam cofinanțarea și calendarul","Cum tratam contribuția proprie și calendarul","Lexic controlat P0.14"
"/dr12-afir","config/seo-programs.json","pages.0.contentSections.2.body","Grantul nu acopera automat toate costurile. Separarea grantului de cofinanțare, TVA, cheltuieli neeligibile și rezerve de preț trebuie facuta înainte de depunere. Calendarul trebuie comparat cu perioada de implementare și cu obligatiile de monitorizare ale apelului activ.","Grantul nu acopera automat toate costurile. Separarea grantului de contribuție proprie, TVA, cheltuieli neeligibile și rezerve de preț trebuie facuta înainte de depunere. Calendarul trebuie comparat cu perioada de implementare și cu obligatiile de monitorizare ale apelului analizat.","Lexic controlat P0.14"
"/dr12-afir","config/seo-programs.json","pages.0.contentSections.3.body","Pagină folosește ghidul consultativ AFIR ca reper de lucru. Pentru decizia finală de aplicare verificam ghidul activ, anuntul sesiunii, anexele și eventualele clarificări publicate de autoritate.","Pagină folosește ghidul consultativ AFIR ca reper de lucru. Pentru decizia finală de aplicare verificam documentul oficial aplicabil, anuntul sesiunii, anexele și eventualele clarificări publicate de autoritate.","Lexic controlat P0.14"
"/dr12-afir","config/seo-programs.json","pages.0.decisionIntro","DR12 merită pregătit când solicitantul și exploatația pot fi demonstrate documentar, investiția este proportionala cu activitatea agricolă, iar cofinanțarea este realistă.","DR12 merită pregătit când solicitantul și exploatația pot fi demonstrate documentar, investiția este proportionala cu activitatea agricolă, iar contribuția proprie este realistă.","Lexic controlat P0.14"
"/dr12-afir","config/seo-programs.json","pages.0.finalCtaText","Analiza compară exploatația, documentele agricole, investiția și cofinanțarea cu ghidul consultativ. Condițiile de lansare și forma finală se reconfirmă în documentele AFIR active.","Analiza compară exploatația, documentele agricole, investiția și contribuția proprie cu ghidul consultativ. Condițiile de lansare și forma finală se reconfirmă în documentele AFIR aplicabile.","Lexic controlat P0.14"
"/dr12-afir","config/seo-programs.json","pages.0.heroPrimaryCta","Verifică eligibilitatea fermei","Cere verificarea inițială a fermei","Lexic controlat P0.14"
"/dr12-afir","config/seo-programs.json","pages.0.finalPrimaryCta","Verifică eligibilitatea fermei tale cu un consultant FABER","Cere o verificare inițială a fermei cu un consultant FABER","Lexic controlat P0.14"
"/dr12-afir","config/seo-programs.json","pages.0.inlineCtaText","Trimite datele despre solicitant, vârstă, exploatație, documentele APIA/ANSVSA, investiție și cofinanțare. Verificarea separă condițiile din ghidul consultativ de cele care așteaptă ghidul final.","Trimite datele despre solicitant, vârstă, exploatație, documentele APIA/ANSVSA, investiție și contribuție proprie. Verificarea separă condițiile din ghidul consultativ de cele care așteaptă ghidul final.","Lexic controlat P0.14"
"/dr12-afir","config/seo-programs.json","pages.0.ctaText","Verifică eligibilitatea fermei","Cere verificarea inițială a fermei","Lexic controlat P0.14"
"/dr14","config/seo-programs.json","pages.1.audience.2","Exploatatii care pot susține cofinanțarea și obligatiile asumate după semnarea contractului.","Exploatatii care pot susține contribuția proprie și obligatiile asumate după semnarea contractului.","Lexic controlat P0.14"
"/dr14","config/seo-programs.json","pages.1.eligibility.4","Pregateste cofinanțarea și costurile neeligibile înainte de depunere.","Pregateste contribuția proprie și costurile neeligibile înainte de depunere.","Lexic controlat P0.14"
"/dr14","config/seo-programs.json","pages.1.mandatory.2","Buget realist, cu TVA, cofinanțare și cheltuieli neeligibile tratate separat.","Buget realist, cu TVA, contribuție proprie și cheltuieli neeligibile tratate separat.","Lexic controlat P0.14"
"/dr14","config/seo-programs.json","pages.1.mandatory.4","Respectarea conditiilor finale din ghidul activ, nu doar din forma consultativa.","Respectarea conditiilor finale din documentul oficial aplicabil, nu doar din forma consultativa.","Lexic controlat P0.14"
"/dr14","config/seo-programs.json","pages.1.steps.3","Construim bugetul și scenariul de cofinanțare.","Construim bugetul și scenariul de contribuție proprie.","Lexic controlat P0.14"
"/dr14","config/seo-programs.json","pages.1.examples.2","Fermă mixta care are nevoie de modernizare punctuala și poate acoperi cofinanțarea.","Fermă mixta care are nevoie de modernizare punctuala și poate acoperi contribuția proprie.","Lexic controlat P0.14"
"/dr14","config/seo-programs.json","pages.1.faq.4.1","Introdu culturile și efectivele documentabile, verifică totalul și SO majoritar, apoi confruntă rezultatul cu intervalul sectorului din ghidul activ.","Introdu culturile și efectivele documentabile, verifică totalul și SO majoritar, apoi confruntă rezultatul cu intervalul sectorului din documentul oficial aplicabil.","Lexic controlat P0.14"
"/dr14","config/seo-programs.json","pages.1.related.4.label","Verificare eligibilitate","Verificare inițială a eligibilității","Lexic controlat P0.14"
"/dr14","config/seo-programs.json","pages.1.contentSections.1.body","Intentia de modernizare nu este suficientă. Documentele pentru terenuri, animale, spații, forma juridică, autorizări, oferte și cofinanțare trebuie să confirme ca proiectul poate fi implementat și monitorizat.","Intentia de modernizare nu este suficientă. Documentele pentru terenuri, animale, spații, forma juridică, autorizări, oferte și contribuție proprie trebuie să confirme ca proiectul poate fi implementat și monitorizat.","Lexic controlat P0.14"
"/dr14","config/seo-programs.json","pages.1.contentSections.2.body","Separarea grantului de cofinanțare, TVA și costuri neeligibile reduce riscul de blocaj după aprobare. Bugetul trebuie să explice fiecare echipament și fiecare serviciu prin nevoia fermei.","Separarea grantului de contribuție proprie, TVA și costuri neeligibile reduce riscul de blocaj după aprobare. Bugetul trebuie să explice fiecare echipament și fiecare serviciu prin nevoia fermei.","Lexic controlat P0.14"
"/dr14","config/seo-programs.json","pages.1.heroPrimaryCta","Verifică eligibilitatea DR14","Cere verificarea inițială pentru DR14","Lexic controlat P0.14"
"/dr14","config/seo-programs.json","pages.1.finalPrimaryCta","Verifică eligibilitatea DR14","Cere verificarea inițială pentru DR14","Lexic controlat P0.14"
"/dr14","config/seo-programs.json","pages.1.applicantRows.2.3","Ghidul activ","Documentul oficial aplicabil","Lexic controlat P0.14"
"/dr14","config/seo-programs.json","pages.1.applicantRows.3.0","Cofinanțare","Contribuție proprie","Lexic controlat P0.14"
"/dr14","config/seo-programs.json","pages.1.eligibleInvestmentRows.0.3","Ghidul activ","Documentul oficial aplicabil","Lexic controlat P0.14"
"/dr14","config/seo-programs.json","pages.1.eligibleInvestmentRows.1.3","Ghidul activ","Documentul oficial aplicabil","Lexic controlat P0.14"
"/dr14","config/seo-programs.json","pages.1.eligibleInvestmentRows.2.3","Ghidul activ","Documentul oficial aplicabil","Lexic controlat P0.14"
"/dr14","config/seo-programs.json","pages.1.eligibleInvestmentRows.3.3","Ghidul activ","Documentul oficial aplicabil","Lexic controlat P0.14"
"/dr14","config/seo-programs.json","pages.1.cofinancingTitle","Finanțare și cofinanțare DR14","Finanțare și contribuție proprie DR14","Lexic controlat P0.14"
"/dr14","config/seo-programs.json","pages.1.documentRows.3.3","Cofinanțare, TVA și costuri neeligibile.","Contribuție proprie, TVA și costuri neeligibile.","Lexic controlat P0.14"
"/dr14","config/seo-programs.json","pages.1.decisionIntro","DR14 este potrivit când fermă mica are documente clare, investiția este dimensionata corect și cofinanțarea este acoperita.","DR14 este potrivit când fermă mica are documente clare, investiția este dimensionata corect și contribuția proprie este acoperita.","Lexic controlat P0.14"
"/dr14","config/seo-programs.json","pages.1.ctaText","Verifică eligibilitatea DR14","Cere verificarea inițială pentru DR14","Lexic controlat P0.14"
"/digitalizare-imm","config/seo-programs.json","pages.5.faq.3.1","Nu. Echipamentele trebuie să fie necesare proiectului și acceptate de ghidul apelului activ.","Nu. Echipamentele trebuie să fie necesare proiectului și acceptate de documentul oficial al apelului analizat.","Lexic controlat P0.14"
