"route","raw_page","clicks","impressions","ctr","position","opportunity","suggested_action"
"/calculator-soc","https://atelierdeconsultanta.ro/calculator-soc.html","29","1017","2.85","7","741.01","Calculator SO/SOC: consolideaza intentia calcul SO, explica coeficientii si trimite catre DR12/DR14."
"/calculator-soc","https://atelierdeconsultanta.ro/calculator-soc","17","581","2.93","7.44","402.3","Calculator SO/SOC: consolideaza intentia calcul SO, explica coeficientii si trimite catre DR12/DR14."
"/femeia-antreprenor-2026","https://atelierdeconsultanta.ro/femeia-antreprenor-2026","18","398","4.52","8.36","241.94","Femeia Antreprenor: separa programul 2026 de hub-ul general pentru femei antreprenor."
"/dr14","https://atelierdeconsultanta.ro/dr14.html","7","406","1.72","9.1","229.43","AFIR cluster: checklist, SO/SOC, documente agricole, link catre hub AFIR si consultanta."
"/dr14","https://atelierdeconsultanta.ro/dr14","22","304","7.24","7.72","194.57","AFIR cluster: checklist, SO/SOC, documente agricole, link catre hub AFIR si consultanta."
"/dr12-afir","https://atelierdeconsultanta.ro/dr12-afir","5","185","2.7","8.18","117.3","AFIR cluster: checklist, SO/SOC, documente agricole, link catre hub AFIR si consultanta."
"/","https://atelierdeconsultanta.ro/","22","154","14.29","5.38","116.81","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/por-adr-nord-est","https://atelierdeconsultanta.ro/por-adr-nord-est.html","0","149","0","6.69","115.6","Regional: consolideaza unghiul local Nord-Est, RIS3 si documentele ADR."
"/dr12-afir","https://atelierdeconsultanta.ro/dr12-afir.html","2","101","1.98","6.37","79.45","AFIR cluster: checklist, SO/SOC, documente agricole, link catre hub AFIR si consultanta."
"/start-up-nation-2026","https://atelierdeconsultanta.ro/start-up-nation-2026.html","4","166","2.41","10.73","71.14","Start-Up Nation: separa pagina principala de articole suport si mentine CTA de verificare."
"/acte-necesare-fonduri-europene-nerambursabile","https://atelierdeconsultanta.ro/acte-necesare-fonduri-europene-nerambursabile.html","2","98","2.04","7.5","68","Funnel informativ: raspuns scurt, checklist practic si link catre serviciul comercial."
"/femeia-antreprenor-2026","https://atelierdeconsultanta.ro/femeia-antreprenor-2026.html","2","86","2.33","10.23","40.39","Femeia Antreprenor: separa programul 2026 de hub-ul general pentru femei antreprenor."
