"route","query","clicks","impressions","ctr","position","opportunity","matched_by","suggested_action"
"/calculator-soc","calcul so afir 2026","6","158","3.8","7.7","105.13","query hint: calcul so","Calculator SO/SOC: consolideaza intentia calcul SO, explica coeficientii si trimite catre DR12/DR14."
"/calculator-soc","calculator so","6","134","4.48","7.49","90.77","query hint: calculator so","Calculator SO/SOC: consolideaza intentia calcul SO, explica coeficientii si trimite catre DR12/DR14."
"/dr14","dr14","5","124","4.03","10.49","54.64","query hint: dr14","AFIR cluster: checklist, SO/SOC, documente agricole, link catre hub AFIR si consultanta."
"/calculator-soc","calculator so animale","1","55","1.82","7.18","39.69","query hint: calculator so","Calculator SO/SOC: consolideaza intentia calcul SO, explica coeficientii si trimite catre DR12/DR14."
"/calculator-soc","calculator so afir","1","62","1.61","8.37","38.79","query hint: calculator so","Calculator SO/SOC: consolideaza intentia calcul SO, explica coeficientii si trimite catre DR12/DR14."
"/femeia-antreprenor-2026","femeia antreprenor 2026 eligibilitate","4","50","8","6.58","36.11","query hint: femeia antreprenor 2026","Femeia Antreprenor: separa programul 2026 de hub-ul general pentru femei antreprenor."
"/femeia-antreprenor-2026","femeia antreprenor 2026 inscriere","0","55","0","9.47","29.93","query hint: femeia antreprenor 2026","Femeia Antreprenor: separa programul 2026 de hub-ul general pentru femei antreprenor."
"/calculator-soc","calculator so 2026","2","24","8.33","5.71","18.87","query hint: calculator so","Calculator SO/SOC: consolideaza intentia calcul SO, explica coeficientii si trimite catre DR12/DR14."
"/calculator-soc","calculator so vegetal 2026","0","25","0","8.8","15","query hint: calculator so","Calculator SO/SOC: consolideaza intentia calcul SO, explica coeficientii si trimite catre DR12/DR14."
"/calculator-soc","calcul so 2026","1","21","4.76","7.05","14.92","query hint: calcul so","Calculator SO/SOC: consolideaza intentia calcul SO, explica coeficientii si trimite catre DR12/DR14."
"/calculator-soc","calculator so animale 2026","4","20","20","5.25","14.33","query hint: calculator so","Calculator SO/SOC: consolideaza intentia calcul SO, explica coeficientii si trimite catre DR12/DR14."
"/afir","dr14 afir 2026","1","23","4.35","8.48","13.79","query hint: afir","AFIR cluster: checklist, SO/SOC, documente agricole, link catre hub AFIR si consultanta."
"/calculator-soc","calculator so vegetal","0","22","0","9.18","12.5","query hint: calculator so","Calculator SO/SOC: consolideaza intentia calcul SO, explica coeficientii si trimite catre DR12/DR14."
"/fonduri-europene-nerambursabile-2026","calendar fonduri europene 2026","0","20","0","9.9","10.17","query hint: fonduri europene 2026","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/afir","so afir","0","13","0","8.92","7.67","query hint: afir","AFIR cluster: checklist, SO/SOC, documente agricole, link catre hub AFIR si consultanta."
"/afir","galafir","0","8","0","5.62","6.92","query hint: afir","AFIR cluster: checklist, SO/SOC, documente agricole, link catre hub AFIR si consultanta."
"/calculator-soc","calcul so afir","0","13","0","10.08","6.41","query hint: calcul so","Calculator SO/SOC: consolideaza intentia calcul SO, explica coeficientii si trimite catre DR12/DR14."
"/calculator-soc","soc 2023 coeficienți standard output românia","0","6","0","4.33","5.84","query hint: standard output","Calculator SO/SOC: consolideaza intentia calcul SO, explica coeficientii si trimite catre DR12/DR14."
"/femeia-antreprenor-2026","femeia antreprenor 2026 conditii","0","11","0","10.09","5.42","query hint: femeia antreprenor 2026","Femeia Antreprenor: separa programul 2026 de hub-ul general pentru femei antreprenor."
"/dr14","dr 14 afir 2026","1","7","14.29","7.71","4.14","query hint: dr 14","AFIR cluster: checklist, SO/SOC, documente agricole, link catre hub AFIR si consultanta."
"/calculator-soc","calcul so","0","7","0","9.29","3.91","query hint: calcul so","Calculator SO/SOC: consolideaza intentia calcul SO, explica coeficientii si trimite catre DR12/DR14."
"/digitalizare-imm","digitalizare imm 2026","0","7","0","9.43","3.83","query hint: digitalizare imm","PNRR/digitalizare: clarifica buget, cheltuieli, indicatori si sursa oficiala."
"/por-adr-nord-est","adr nord est microintreprinderi","0","6","0","9.17","3.42","query hint: adr nord est","Regional: consolideaza unghiul local Nord-Est, RIS3 si documentele ADR."
"/afir","afir so","0","5","0","8.4","3.17","query hint: afir","AFIR cluster: checklist, SO/SOC, documente agricole, link catre hub AFIR si consultanta."
"/dr14","ghidul solicitantului dr 14","1","7","14.29","10.43","2.78","query hint: dr 14","AFIR cluster: checklist, SO/SOC, documente agricole, link catre hub AFIR si consultanta."
"/dr12-afir","dr 12 afir lansare","0","3","0","6.67","2.33","query hint: dr 12","AFIR cluster: checklist, SO/SOC, documente agricole, link catre hub AFIR si consultanta."
"/fonduri-europene","dosar fonduri europene","0","6","0","11.67","2.17","query hint: fonduri europene","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/femeia-antreprenor-2026","programul femeia antreprenor 2026","0","12","0","13.92","2.08","query hint: femeia antreprenor 2026","Femeia Antreprenor: separa programul 2026 de hub-ul general pentru femei antreprenor."
"/femeia-antreprenor-2026","femeia antreprenor 2026 depunere","0","5","0","11.2","2","query hint: femeia antreprenor 2026","Femeia Antreprenor: separa programul 2026 de hub-ul general pentru femei antreprenor."
"/dr12-afir","dr 12 afir ghid","0","3","0","9","1.75","query hint: dr 12","AFIR cluster: checklist, SO/SOC, documente agricole, link catre hub AFIR si consultanta."
"/femeia-antreprenor-2026","conditii femeia antreprenor 2026","0","3","0","9.33","1.67","query hint: femeia antreprenor 2026","Femeia Antreprenor: separa programul 2026 de hub-ul general pentru femei antreprenor."
"/afir","galafir.ro","0","2","0","6","1.67","query hint: afir","AFIR cluster: checklist, SO/SOC, documente agricole, link catre hub AFIR si consultanta."
"/fondul-de-modernizare","fondul de modernizare 2026","0","2","0","9","1.17","query hint: fondul de modernizare","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
"/dr14","dr 14 conditii","0","2","0","9.5","1.08","query hint: dr 14","AFIR cluster: checklist, SO/SOC, documente agricole, link catre hub AFIR si consultanta."
"/fonduri-europene","fonduri europene energie regenerabila 2026","0","2","0","9.5","1.08","query hint: fonduri europene","Hub/serviciu: intareste intentia principala, linkurile interne si blocurile de incredere."
