"route","file","fragment","category","severity","reason","recommendation"
"/","index.html","Verificare prudentă, documentată și interdisciplinară — consultanță și proiectare — înainte de dosar. Analizăm forma solicitantului, activitatea sau exploatația, amplasamentul, investiția, bugetul și documentele. Stabilim ce program poate fi potrivit, ce condiții trebuie demonstrate și ce riscuri pot opri depunerea. Dacă proiectul continuă, corelăm cererea de finanțare cu anexele și documentația tehnică.","liniuțe_lungi_excesive","scăzută","Paragraful folosește 2 liniuțe lungi și comprimă explicații care ar trebui delimitate procedural.","Împarte ideea în propoziții directe sau într-o listă de criterii, fără a schimba ierarhia vizuală."
"/afir-autoconsum-agroalimentar","afir-autoconsum-agroalimentar.html","Ghidul V7 separă trei categorii de solicitanți. Prima include întreprinderile din sectorul agricol — microîntreprinderi, întreprinderi mici, mijlocii și mari, inclusiv PFA, II și IF — precum și cooperative agricole, societăți cooperative agricole și societăți agricole care dețin active fizice de producție și/sau procesare a produselor agroalimentare. A doua categorie cuprinde întreprinderile din industria alimentară, legal constituite și înregistrate la ONRC.","liniuțe_lungi_excesive","scăzută","Paragraful folosește 2 liniuțe lungi și comprimă explicații care ar trebui delimitate procedural.","Împarte ideea în propoziții directe sau într-o listă de criterii, fără a schimba ierarhia vizuală."
"/apeluri-gal","apeluri-gal/index.html","Sursa oficială: AFIR și Grupurile de Acțiune Locală — DR-36 LEADER și ghidurile locale ale GAL-urilor.","concluzie_repetitivă","medie","Concluzia reia vocabularul introducerii (69% suprapunere) fără o decizie sau un pas nou.","Încheie cu documentul care trebuie verificat, o limită factuală sau următorul pas procedural."
"/apeluri-gal","apeluri-gal/index.html","Verificare pentru Apeluri GAL / LEADER

Verificare pentru Apeluri GAL / LEADER

Verificare pentru Apeluri GAL / LEADER","început_repetat_de_paragraf","medie","Trei paragrafe succesive încep cu aceeași structură, semn al unei redactări mecanice.","Reordonează paragrafele după criteriu, dovadă și consecință; variază începutul numai când logica o cere."
"/apeluri-gal","apeluri-gal/index.html","Ghid complet GAL-AFIR","promisiune_exhaustivă","medie","Promite exhaustivitate fără să poată acoperi toate versiunile și clarificările oficiale. Expresie detectată: „Ghid complet”.","Precizează versiunea documentului și subiectele efectiv acoperite."
"/autoconsum-public-fotovoltaice-institutii-publice","autoconsum-public-fotovoltaice-institutii-publice.html","Sursa oficială: Guvernul României / autoritatea finanțatoare competentă — Actul normativ privind autoconsumul pentru entități publice.","concluzie_repetitivă","medie","Concluzia reia vocabularul introducerii (72% suprapunere) fără o decizie sau un pas nou.","Încheie cu documentul care trebuie verificat, o limită factuală sau următorul pas procedural."
"/blog","blog/index.html","Programele destinate antreprenorilor — Start-Up Nation 2026, Femeia Antreprenor 2026 și PNRR Digitalizare IMM — se adresează unor categorii distincte de beneficiari și au reguli proprii de eligibilitate. Articolele publicate pe acest blog îți explică cum să alegi ideea de afacere potrivită, cum să pregătești planul de afaceri, ce cod CAEN trebuie să ai și ce documente sunt cerute frecvent.","liniuțe_lungi_excesive","scăzută","Paragraful folosește 2 liniuțe lungi și comprimă explicații care ar trebui delimitate procedural.","Împarte ideea în propoziții directe sau într-o listă de criterii, fără a schimba ierarhia vizuală."
"/calculator-soc","calculator-soc.html","Sursa oficială: AFIR — Lista detaliată a coeficienților standard output — SOC 2020 — lista AFIR noiembrie 2024.","liniuțe_lungi_excesive","scăzută","Paragraful folosește 3 liniuțe lungi și comprimă explicații care ar trebui delimitate procedural.","Împarte ideea în propoziții directe sau într-o listă de criterii, fără a schimba ierarhia vizuală."
"/cheltuieli-eligibile-pocidif-21","cheltuieli-eligibile-pocidif-21/index.html","Apelul cere o succesiune completă: cercetare industrială și/sau dezvoltare experimentală, introducere în producție, introducere obligatorie pe piață, informare și publicitate și audit tehnic. Un proiect format exclusiv din active corporale și necorporale ori exclusiv din cercetare fără inovare și piață nu este finanțabil.","enumerare_abstractă","medie","Paragraful acumulează concepte abstracte, dar nu indică un criteriu, un document, o limită sau un exemplu verificabil.","Păstrează numai ideile necesare și leagă fiecare afirmație de un criteriu, document sau exemplu de necorelare."
"/digitalizare-imm","digitalizare-imm.html","Depunerea nu este deschisă. Ordinul MIPE nr. 607/28.04.2026 actualizează implementarea proiectelor existente și nu deschide un apel nou.","concluzie_repetitivă","medie","Concluzia reia vocabularul introducerii (87% suprapunere) fără o decizie sau un pas nou.","Încheie cu documentul care trebuie verificat, o limită factuală sau următorul pas procedural."
