source_route,target,target_scope,link_type,anchor,explanation,outgoing_next_step,incoming_next_step,status
/afir-autoconsum-agroalimentar,/afir,internal,contextual,Părinte revino la hubul AFIR și agricultură Compară intervențiile agricole și traseele AFIR relevante pentru investiție.,Compară intervențiile agricole și traseele AFIR relevante pentru investiție.,4,9,valid
/afir-autoconsum-agroalimentar,/blog-afir-fotovoltaice-ferme-2026,internal,contextual,"Ghid sau comparație compară reperele pentru fotovoltaice în ferme Corelează autoconsumul, amplasamentul și documentația tehnică a investiției agricole.","Corelează autoconsumul, amplasamentul și documentația tehnică a investiției agricole.",4,2,valid
/afir-autoconsum-agroalimentar,/verificare-eligibilitate-fonduri-europene,internal,contextual,"Instrument verifică criteriile inițiale de eligibilitate Controlează solicitantul, investiția și documentele înainte de pregătirea dosarului.","Controlează solicitantul, investiția și documentele înainte de pregătirea dosarului.",4,63,valid
/apeluri-gal,/fonduri-europene-imm,internal,contextual,"Părinte revino la programele pentru antreprenoriat și GAL Compară traseele pentru firme, start-up-uri și beneficiari din teritorii GAL.","Compară traseele pentru firme, start-up-uri și beneficiari din teritorii GAL.",4,25,valid
/apeluri-gal,/gal-afir,internal,contextual,"Ghid sau comparație compară programul LEADER și traseul GAL-AFIR Verifică teritoriul, strategia locală și regulile apelului lansat de GAL.","Verifică teritoriul, strategia locală și regulile apelului lansat de GAL.",4,9,valid
/apeluri-gal,/verificare-eligibilitate-fonduri-europene,internal,contextual,"Instrument verifică criteriile inițiale de eligibilitate Controlează solicitantul, investiția și documentele înainte de pregătirea dosarului.","Controlează solicitantul, investiția și documentele înainte de pregătirea dosarului.",4,63,valid
/autoconsum-public-fotovoltaice-institutii-publice,/cum-se-calculeaza-cofinantarea-fonduri-europene,internal,contextual,"Ghid sau comparație calculează prudent contribuția proprie Include cheltuielile neeligibile, TVA-ul aplicabil și calendarul plăților proiectului.","Include cheltuielile neeligibile, TVA-ul aplicabil și calendarul plăților proiectului.",4,9,valid
/autoconsum-public-fotovoltaice-institutii-publice,/finantari-panouri-fotovoltaice,internal,contextual,"Părinte revino la programele pentru energie Compară finanțările pentru autoconsum, regenerabile și eficiență energetică.","Compară finanțările pentru autoconsum, regenerabile și eficiență energetică.",4,10,valid
/autoconsum-public-fotovoltaice-institutii-publice,/verificare-eligibilitate-fonduri-europene,internal,contextual,"Instrument verifică criteriile inițiale de eligibilitate Controlează solicitantul, investiția și documentele înainte de pregătirea dosarului.","Controlează solicitantul, investiția și documentele înainte de pregătirea dosarului.",4,63,valid
/calculator-soc,/dr14,internal,contextual,verifică pragurile DR14 pentru ferme mici,"Vezi cum influențează sectorul, SO majoritar și componenta analiza unei ferme mici.",5,17,valid
/calculator-soc,/fonduri-europene-agricultura,internal,contextual,compară finanțările pentru agricultură,Identifică și alte trasee agricole dacă rezultatul nu se potrivește cu DR12 sau DR14.,5,2,valid
/calculator-soc,/verificare-eligibilitate-fonduri-europene,internal,contextual,verifică documentele pentru eligibilitate,"Corelează rezultatul calculatorului cu actele exploatației, investiția și ghidul aplicabil.",5,63,valid
/consultanta-afir,/dr14,internal,contextual,verifică SO-ul și componenta DR14,"Corelează dimensiunea economică, sectorul, investiția și cofinanțarea fermei mici.",2,17,valid
/consultanta-afir,/proiectare-fonduri-europene,internal,contextual,organizează proiectarea pentru lucrările AFIR,"Identifică studiul de fezabilitate, avizele și proiectul tehnic pentru construcții sau modernizări.",2,12,valid
/despre-faber,/metodologie-verificare-eligibilitate,internal,contextual,urmărește metodologia de verificare FABER,"Vezi ordinea în care sunt analizate solicitantul, programul, investiția și documentele.",4,22,valid
/despre-faber,/proiectare-fonduri-europene,internal,contextual,vezi serviciile de proiectare pentru investiții,Identifică livrabilele tehnice care pot fi necesare după confirmarea programului și a eligibilității.,4,12,valid
/despre-faber,/surse-oficiale-fonduri-europene,internal,contextual,consultă sursele oficiale pentru finanțări,Identifică instituțiile și documentele folosite pentru confirmarea condițiilor unui apel.,4,29,valid
/diaspora-investeste-acasa,/acte-necesare-fonduri-europene-nerambursabile,internal,contextual,Ghid sau comparație pregătește documentele de bază ale proiectului Ordonează actele solicitantului și investiției înainte de verificarea ghidului concret.,Ordonează actele solicitantului și investiției înainte de verificarea ghidului concret.,5,15,valid
/diaspora-investeste-acasa,/fonduri-europene-imm,internal,contextual,"Părinte revino la programele pentru antreprenoriat și GAL Compară traseele pentru firme, start-up-uri și beneficiari din teritorii GAL.","Compară traseele pentru firme, start-up-uri și beneficiari din teritorii GAL.",5,25,valid
/diaspora-investeste-acasa,/verificare-eligibilitate-fonduri-europene,internal,contextual,"Instrument verifică criteriile inițiale de eligibilitate Controlează solicitantul, investiția și documentele înainte de pregătirea dosarului.","Controlează solicitantul, investiția și documentele înainte de pregătirea dosarului.",5,63,valid
/digitalizare-imm,/cheltuieli-eligibile-digitalizare-imm,internal,contextual,"Ghid sau comparație verifică ghidul cheltuielilor pentru digitalizare Leagă software-ul, echipamentele și serviciile de obiectivele programului aplicabil.","Leagă software-ul, echipamentele și serviciile de obiectivele programului aplicabil.",4,7,valid
/digitalizare-imm,/fonduri-europene-digitalizare,internal,contextual,"Părinte revino la programele de digitalizare și inovare Compară apelurile după solicitant, investiție și stadiul oficial verificat.","Compară apelurile după solicitant, investiție și stadiul oficial verificat.",4,7,valid
/digitalizare-imm,/verificare-eligibilitate-fonduri-europene,internal,contextual,"Instrument verifică criteriile inițiale de eligibilitate Controlează solicitantul, investiția și documentele înainte de pregătirea dosarului.","Controlează solicitantul, investiția și documentele înainte de pregătirea dosarului.",4,63,valid
/dr12-afir,/afir,internal,contextual,Părinte revino la hubul AFIR și agricultură Compară intervențiile agricole și traseele AFIR relevante pentru investiție.,Compară intervențiile agricole și traseele AFIR relevante pentru investiție.,8,9,valid
/dr12-afir,/calculator-soc,internal,contextual,Instrument calculează dimensiunea economică SO Obține un reper orientativ și verifică apoi valorile pe documentele exploatației.,Obține un reper orientativ și verifică apoi valorile pe documentele exploatației.,8,21,valid
/dr12-afir,/dr12-vs-dr14,internal,contextual,Ghid sau comparație compară condițiile DR 12 și DR 14 Separă intervențiile după profilul solicitantului și dimensiunea economică a fermei.,Separă intervențiile după profilul solicitantului și dimensiunea economică a fermei.,8,7,valid
/dr14,/afir,internal,contextual,Părinte revino la hubul AFIR și agricultură Compară intervențiile agricole și traseele AFIR relevante pentru investiție.,Compară intervențiile agricole și traseele AFIR relevante pentru investiție.,8,9,valid
/dr14,/calculator-soc,internal,contextual,Instrument calculează dimensiunea economică SO Obține un reper orientativ și verifică apoi valorile pe documentele exploatației.,Obține un reper orientativ și verifică apoi valorile pe documentele exploatației.,8,21,valid
/dr14,/dr12-vs-dr14,internal,contextual,Ghid sau comparație compară condițiile DR 12 și DR 14 Separă intervențiile după profilul solicitantului și dimensiunea economică a fermei.,Separă intervențiile după profilul solicitantului și dimensiunea economică a fermei.,8,7,valid
/e-drive,/acte-necesare-fonduri-europene-nerambursabile,internal,contextual,Ghid sau comparație pregătește documentele de bază ale proiectului Ordonează actele solicitantului și investiției înainte de verificarea ghidului concret.,Ordonează actele solicitantului și investiției înainte de verificarea ghidului concret.,5,15,valid
/e-drive,/finantari-panouri-fotovoltaice,internal,contextual,"Părinte revino la programele pentru energie Compară finanțările pentru autoconsum, regenerabile și eficiență energetică.","Compară finanțările pentru autoconsum, regenerabile și eficiență energetică.",5,10,valid
/e-drive,/verificare-eligibilitate-fonduri-europene,internal,contextual,"Instrument verifică criteriile inițiale de eligibilitate Controlează solicitantul, investiția și documentele înainte de pregătirea dosarului.","Controlează solicitantul, investiția și documentele înainte de pregătirea dosarului.",5,63,valid
/e-mobility,/cum-se-calculeaza-cofinantarea-fonduri-europene,internal,contextual,"Ghid sau comparație calculează prudent contribuția proprie Include cheltuielile neeligibile, TVA-ul aplicabil și calendarul plăților proiectului.","Include cheltuielile neeligibile, TVA-ul aplicabil și calendarul plăților proiectului.",5,9,valid
/e-mobility,/finantari-panouri-fotovoltaice,internal,contextual,"Părinte revino la programele pentru energie Compară finanțările pentru autoconsum, regenerabile și eficiență energetică.","Compară finanțările pentru autoconsum, regenerabile și eficiență energetică.",5,10,valid
/e-mobility,/verificare-eligibilitate-fonduri-europene,internal,contextual,"Instrument verifică criteriile inițiale de eligibilitate Controlează solicitantul, investiția și documentele înainte de pregătirea dosarului.","Controlează solicitantul, investiția și documentele înainte de pregătirea dosarului.",5,63,valid
/e-move,/cum-se-calculeaza-cofinantarea-fonduri-europene,internal,contextual,"Ghid sau comparație calculează prudent contribuția proprie Include cheltuielile neeligibile, TVA-ul aplicabil și calendarul plăților proiectului.","Include cheltuielile neeligibile, TVA-ul aplicabil și calendarul plăților proiectului.",4,9,valid
/e-move,/finantari-panouri-fotovoltaice,internal,contextual,"Părinte revino la programele pentru energie Compară finanțările pentru autoconsum, regenerabile și eficiență energetică.","Compară finanțările pentru autoconsum, regenerabile și eficiență energetică.",4,10,valid
/e-move,/verificare-eligibilitate-fonduri-europene,internal,contextual,"Instrument verifică criteriile inițiale de eligibilitate Controlează solicitantul, investiția și documentele înainte de pregătirea dosarului.","Controlează solicitantul, investiția și documentele înainte de pregătirea dosarului.",4,63,valid
/femeia-antreprenor-2026,/femeia-antreprenor-2026-conditii-idei-afaceri,internal,contextual,Ghid sau comparație compară condițiile și ideile de afaceri analizate Folosește ghidul complementar fără a presupune condiții care nu sunt încă oficiale.,Folosește ghidul complementar fără a presupune condiții care nu sunt încă oficiale.,4,4,valid
/femeia-antreprenor-2026,/fonduri-europene-imm,internal,contextual,"Părinte revino la programele pentru antreprenoriat și GAL Compară traseele pentru firme, start-up-uri și beneficiari din teritorii GAL.","Compară traseele pentru firme, start-up-uri și beneficiari din teritorii GAL.",4,25,valid
/femeia-antreprenor-2026,/verificare-eligibilitate-fonduri-europene,internal,contextual,"Instrument verifică criteriile inițiale de eligibilitate Controlează solicitantul, investiția și documentele înainte de pregătirea dosarului.","Controlează solicitantul, investiția și documentele înainte de pregătirea dosarului.",4,63,valid
/finantari-panouri-fotovoltaice,/afir-autoconsum-agroalimentar,internal,contextual,verifică sesiunea AFIR pentru autoconsum,"Compară beneficiarul, consumul, stocarea și amplasamentul cu regulile Ghidului V7.",14,9,valid
/finantari-panouri-fotovoltaice,/consultanta-fonduri-europene,internal,contextual,verifică programul și eligibilitatea energetică,"Controlează solicitantul, sursa de finanțare, bugetul și documentele administrative ale proiectului.",14,58,valid
/finantari-panouri-fotovoltaice,/proiectare-fonduri-europene,internal,contextual,dimensionează și proiectează sistemul fotovoltaic,"Leagă bilanțul energetic, amplasamentul, racordarea, stocarea și devizul de cerințele apelului.",14,12,valid
/fondul-de-modernizare-finantari-energie-fotovoltaice-autoconsum,/cum-se-calculeaza-cofinantarea-fonduri-europene,internal,contextual,"Ghid sau comparație calculează prudent contribuția proprie Include cheltuielile neeligibile, TVA-ul aplicabil și calendarul plăților proiectului.","Include cheltuielile neeligibile, TVA-ul aplicabil și calendarul plăților proiectului.",4,9,valid
/fondul-de-modernizare-finantari-energie-fotovoltaice-autoconsum,/finantari-panouri-fotovoltaice,internal,contextual,"Părinte revino la programele pentru energie Compară finanțările pentru autoconsum, regenerabile și eficiență energetică.","Compară finanțările pentru autoconsum, regenerabile și eficiență energetică.",4,10,valid
/fondul-de-modernizare-finantari-energie-fotovoltaice-autoconsum,/verificare-eligibilitate-fonduri-europene,internal,contextual,"Instrument verifică criteriile inițiale de eligibilitate Controlează solicitantul, investiția și documentele înainte de pregătirea dosarului.","Controlează solicitantul, investiția și documentele înainte de pregătirea dosarului.",4,63,valid
/fondul-modernizare-energie-regenerabila-2026,/cum-se-calculeaza-cofinantarea-fonduri-europene,internal,contextual,"Ghid sau comparație calculează prudent contribuția proprie Include cheltuielile neeligibile, TVA-ul aplicabil și calendarul plăților proiectului.","Include cheltuielile neeligibile, TVA-ul aplicabil și calendarul plăților proiectului.",3,9,valid
/fondul-modernizare-energie-regenerabila-2026,/finantari-panouri-fotovoltaice,internal,contextual,"Părinte revino la programele pentru energie Compară finanțările pentru autoconsum, regenerabile și eficiență energetică.","Compară finanțările pentru autoconsum, regenerabile și eficiență energetică.",3,10,valid
/fondul-modernizare-energie-regenerabila-2026,/verificare-eligibilitate-fonduri-europene,internal,contextual,"Instrument verifică criteriile inițiale de eligibilitate Controlează solicitantul, investiția și documentele înainte de pregătirea dosarului.","Controlează solicitantul, investiția și documentele înainte de pregătirea dosarului.",3,63,valid
/fondul-modernizare-pc1-stocare,/cum-se-calculeaza-cofinantarea-fonduri-europene,internal,contextual,"Ghid sau comparație calculează prudent contribuția proprie Include cheltuielile neeligibile, TVA-ul aplicabil și calendarul plăților proiectului.","Include cheltuielile neeligibile, TVA-ul aplicabil și calendarul plăților proiectului.",5,9,valid
/fondul-modernizare-pc1-stocare,/finantari-panouri-fotovoltaice,internal,contextual,"Părinte revino la programele pentru energie Compară finanțările pentru autoconsum, regenerabile și eficiență energetică.","Compară finanțările pentru autoconsum, regenerabile și eficiență energetică.",5,10,valid
/fondul-modernizare-pc1-stocare,/verificare-eligibilitate-fonduri-europene,internal,contextual,"Instrument verifică criteriile inițiale de eligibilitate Controlează solicitantul, investiția și documentele înainte de pregătirea dosarului.","Controlează solicitantul, investiția și documentele înainte de pregătirea dosarului.",5,63,valid
/fonduri-europene-agricultura,/consultanta-afir,internal,contextual,organizează consultanța pentru proiectul agricol,"Stabilește ordinea verificărilor pentru solicitant, fermă, program, buget și documentele de depunere.",3,12,valid
/fonduri-europene-agricultura,/dr14,internal,contextual,verifică DR14 pentru ferme mici,"Controlează intervalul SO, componenta, investiția și contribuția proprie prevăzute consultativ.",3,17,valid
/fonduri-europene-agricultura,/proiectare-fonduri-europene,internal,contextual,clarifică proiectarea construcțiilor agricole,"Identifică studiul, avizele și proiectul tehnic necesare halelor, spațiilor de depozitare sau modernizărilor.",3,12,valid
/fonduri-europene-imm,/consultanta-fonduri-europene,internal,contextual,pregătește eligibilitatea și cererea IMM,"Verifică solicitantul, programul, cofinanțarea, bugetul și documentele administrative necesare.",17,58,valid
/fonduri-europene-imm,/digitalizare-imm,internal,contextual,compară finanțările pentru digitalizarea IMM,Separă investițiile în procese și tehnologie de proiectele productive sau de construcții.,17,10,valid
/fonduri-europene-imm,/investitii-modernizarea-microintreprinderilor-apel-2,internal,contextual,verifică apelurile regionale pentru IMM,"Identifică programul și apelul potrivite după regiune, dimensiunea firmei și investiție.",17,16,valid
/fonduri-europene-imm,/proiectare-fonduri-europene,internal,contextual,definește proiectarea tehnică pentru investiția IMM,"Clarifică studiile, avizele, proiectul tehnic și devizul pentru spații, fluxuri și instalații.",17,12,valid
/fonduri-europene-nord-est,/investitii-modernizarea-microintreprinderilor-apel-2,internal,contextual,consultă Programul Regional Nord-Est,"Verifică județul, solicitantul și tipul apelului înainte de folosirea unor valori sau termene.",12,16,valid
/fonduri-europene-nord-est,/investitii-modernizarea-microintreprinderilor-apel-2,internal,contextual,analizează separat Apelul 2 pentru microîntreprinderi,Folosește condițiile sesiunii dedicate fără a le generaliza pentru întregul program regional.,12,16,valid
/fonduri-europene-nord-est,/proiectare-fonduri-europene,internal,contextual,planifică SF-ul sau DALI pentru proiectul regional,"Corelează tema de proiectare, avizele, indicatorii și devizul cu cerințele investiției finanțate.",12,12,valid
/fonduri-europene-nord-est,/verificare-eligibilitate-fonduri-europene,internal,contextual,controlează CAEN-ul și amplasamentul investiției,"Controlează solicitantul, județul, activitatea, spațiul, bugetul și documentele pentru apelul ales.",12,63,valid
/fonduri-regionale,/fonduri-europene,internal,contextual,Părinte revino la hubul programelor de finanțare Compară familiile de programe înainte de alegerea unei intervenții concrete.,Compară familiile de programe înainte de alegerea unei intervenții concrete.,8,29,valid
/fonduri-regionale,/fonduri-europene-nord-est,internal,contextual,"Ghid sau comparație compară traseele de finanțare din Nord-Est Diferențiază apelurile regionale de alternativele agricole, energetice sau naționale.","Diferențiază apelurile regionale de alternativele agricole, energetice sau naționale.",8,3,valid
/fonduri-regionale,/verificare-eligibilitate-fonduri-europene,internal,contextual,"Instrument verifică criteriile inițiale de eligibilitate Controlează solicitantul, investiția și documentele înainte de pregătirea dosarului.","Controlează solicitantul, investiția și documentele înainte de pregătirea dosarului.",8,63,valid
/gal-afir,/apeluri-gal,internal,contextual,Ghid sau comparație compară apelurile GAL și condițiile locale Identifică apelul concret și documentele publicate pentru teritoriul proiectului.,Identifică apelul concret și documentele publicate pentru teritoriul proiectului.,4,3,valid
/gal-afir,/fonduri-europene-imm,internal,contextual,"Părinte revino la programele pentru antreprenoriat și GAL Compară traseele pentru firme, start-up-uri și beneficiari din teritorii GAL.","Compară traseele pentru firme, start-up-uri și beneficiari din teritorii GAL.",4,25,valid
/gal-afir,/verificare-eligibilitate-fonduri-europene,internal,contextual,"Instrument verifică criteriile inițiale de eligibilitate Controlează solicitantul, investiția și documentele înainte de pregătirea dosarului.","Controlează solicitantul, investiția și documentele înainte de pregătirea dosarului.",4,63,valid
/investitii-modernizarea-microintreprinderilor-apel-2,/fonduri-europene-nord-est,internal,contextual,"Ghid sau comparație compară traseele de finanțare din Nord-Est Diferențiază apelurile regionale de alternativele agricole, energetice sau naționale.","Diferențiază apelurile regionale de alternativele agricole, energetice sau naționale.",4,3,valid
/investitii-modernizarea-microintreprinderilor-apel-2,/fonduri-regionale,internal,contextual,Părinte revino la programele Regional și ADR Separă regulile programului de condițiile apelului regional concret.,Separă regulile programului de condițiile apelului regional concret.,4,8,valid
/investitii-modernizarea-microintreprinderilor-apel-2,/verificare-eligibilitate-fonduri-europene,internal,contextual,"Instrument verifică criteriile inițiale de eligibilitate Controlează solicitantul, investiția și documentele înainte de pregătirea dosarului.","Controlează solicitantul, investiția și documentele înainte de pregătirea dosarului.",4,63,valid
/pocidif-21,/cheltuieli-eligibile-pocidif-21,internal,contextual,"Ghid sau comparație verifică cheltuielile analizate pentru PoCIDIF 2.1 Corelează activitățile, costurile și rezultatele de cercetare sau inovare.","Corelează activitățile, costurile și rezultatele de cercetare sau inovare.",4,3,valid
/pocidif-21,/fonduri-europene-digitalizare,internal,contextual,"Părinte revino la programele de digitalizare și inovare Compară apelurile după solicitant, investiție și stadiul oficial verificat.","Compară apelurile după solicitant, investiție și stadiul oficial verificat.",4,7,valid
/pocidif-21,/verificare-eligibilitate-fonduri-europene,internal,contextual,"Instrument verifică criteriile inițiale de eligibilitate Controlează solicitantul, investiția și documentele înainte de pregătirea dosarului.","Controlează solicitantul, investiția și documentele înainte de pregătirea dosarului.",4,63,valid
/pro-infra,/acte-necesare-fonduri-europene-nerambursabile,internal,contextual,Ghid sau comparație pregătește documentele de bază ale proiectului Ordonează actele solicitantului și investiției înainte de verificarea ghidului concret.,Ordonează actele solicitantului și investiției înainte de verificarea ghidului concret.,4,15,valid
/pro-infra,/finantari-panouri-fotovoltaice,internal,contextual,"Părinte revino la programele pentru energie Compară finanțările pentru autoconsum, regenerabile și eficiență energetică.","Compară finanțările pentru autoconsum, regenerabile și eficiență energetică.",4,10,valid
/pro-infra,/verificare-eligibilitate-fonduri-europene,internal,contextual,"Instrument verifică criteriile inițiale de eligibilitate Controlează solicitantul, investiția și documentele înainte de pregătirea dosarului.","Controlează solicitantul, investiția și documentele înainte de pregătirea dosarului.",4,63,valid
/start-up-nation-2026,/fonduri-europene-imm,internal,contextual,"Părinte revino la programele pentru antreprenoriat și GAL Compară traseele pentru firme, start-up-uri și beneficiari din teritorii GAL.","Compară traseele pentru firme, start-up-uri și beneficiari din teritorii GAL.",3,25,valid
/start-up-nation-2026,/start-up-nation-2026-conditii,internal,contextual,Ghid sau comparație verifică ghidul despre condițiile Start-Up Nation Separă regulile programului de documentele și ipotezele folosite pentru pregătire.,Separă regulile programului de documentele și ipotezele folosite pentru pregătire.,3,8,valid
/start-up-nation-2026,/verificare-eligibilitate-fonduri-europene,internal,contextual,"Instrument verifică criteriile inițiale de eligibilitate Controlează solicitantul, investiția și documentele înainte de pregătirea dosarului.","Controlează solicitantul, investiția și documentele înainte de pregătirea dosarului.",3,63,valid
/afir-autoconsum-agroalimentar,/contact,internal,CTA,"Următorul pas Verifică proiectul AFIR pentru autoconsum Trimite contextul proiectului pentru o verificare inițială, fără promisiunea eligibilității.","Trimite contextul proiectului pentru o verificare inițială, fără promisiunea eligibilității.",6,423,valid
/apeluri-gal,/contact,internal,CTA,"Următorul pas Verifică încadrarea proiectului în apelul GAL Trimite contextul proiectului pentru o verificare inițială, fără promisiunea eligibilității.","Trimite contextul proiectului pentru o verificare inițială, fără promisiunea eligibilității.",7,423,valid
/autoconsum-public-fotovoltaice-institutii-publice,/contact,internal,CTA,"Următorul pas Verifică proiectul de autoconsum al instituției Trimite contextul proiectului pentru o verificare inițială, fără promisiunea eligibilității.","Trimite contextul proiectului pentru o verificare inițială, fără promisiunea eligibilității.",7,423,valid
/consultanta-afir,/contact,internal,CTA,trimite datele exploatației pentru analiză,Transmite documentele disponibile pentru delimitarea condițiilor confirmate și a riscurilor proiectului.,7,423,valid
/despre-faber,/contact,internal,CTA,discută situația concretă a proiectului,Trimite contextul și documentele disponibile pentru stabilirea următorului pas de verificare.,8,423,valid
/diaspora-investeste-acasa,/contact,internal,CTA,"Următorul pas Verifică proiectul Diaspora Investește Acasă Trimite profilul din diaspora, investiția, firma propusă și sursele financiare disponibile.","Trimite profilul din diaspora, investiția, firma propusă și sursele financiare disponibile.",4,423,valid
/digitalizare-imm,/contact,internal,CTA,"Următorul pas Verifică încadrarea proiectului de digitalizare Trimite contextul proiectului pentru o verificare inițială, fără promisiunea eligibilității.","Trimite contextul proiectului pentru o verificare inițială, fără promisiunea eligibilității.",5,423,valid
/dr12-afir,/contact,internal,CTA,"Următorul pas Verifică încadrarea în DR 12 Vom cere forma solicitantului, SO, județul și investiția.","Vom cere forma solicitantului, SO, județul și investiția.",6,423,valid
/dr14,/contact,internal,CTA,Următorul pas Verifică dacă ferma se încadrează în DR 14 Concluzie orientativă pe documentele disponibile.,Concluzie orientativă pe documentele disponibile.,9,423,valid
/e-drive,/contact,internal,CTA,"Următorul pas Verifică proiectul de flotă pentru e-DRIVE Trimite contextul proiectului pentru o verificare inițială, fără promisiunea eligibilității.","Trimite contextul proiectului pentru o verificare inițială, fără promisiunea eligibilității.",4,423,valid
/e-mobility,/contact,internal,CTA,"Următorul pas Verifică amplasamentul și investiția e-Mobility RO Trimite contextul proiectului pentru o verificare inițială, fără promisiunea eligibilității.","Trimite contextul proiectului pentru o verificare inițială, fără promisiunea eligibilității.",4,423,valid
