"url","question","answer","source_name","source_url","verified_at","selection_basis"
"/dr12-afir","Este deschis apelul DR 12?","Nu. La verificarea din 22 iulie 2026, AFIR publicase pentru DR 12 o versiune consultativă, iar depunerea proiectelor nu era deschisă. Documentul poate ajuta la pregătirea întrebărilor și a actelor, dar condițiile se pot modifica înaintea ghidului final. O estimare internă privind lansarea nu înlocuiește anunțul oficial al apelului.","Agenția pentru Finanțarea Investițiilor Rurale (AFIR)","https://www.afir.ro/comunicate/consultare-publica-pentru-consolidarea-exploatatiilor-tinerilor-fermieri/","2026-07-22","GSC: „dr 12 afir lansare”, „dr 12 ghid final” și variante apropiate"
"/dr12-afir","Ce cheltuieli nu sunt eligibile în DR 12?","Lista definitivă a cheltuielilor neeligibile nu poate fi publicată cât timp ghidul DR 12 este consultativ. În analiză sunt tratate ca risc costurile care nu apar în categoriile permise, nu susțin obiectivul investiției, nu pot fi documentate ori sunt angajate în afara regulilor și perioadelor acceptate. Fiecare poziție de buget trebuie reconfirmată în ghidul final și în anexele sale.","Agenția pentru Finanțarea Investițiilor Rurale (AFIR)","https://www.afir.ro/comunicate/consultare-publica-pentru-consolidarea-exploatatiilor-tinerilor-fermieri/","2026-07-22","Brief clienți + documentul oficial DR 12"
"/dr12-afir","Ce trebuie verificat înainte de pregătirea unui dosar DR 12?","Înaintea dosarului se compară forma solicitantului, vârsta și istoricul instalării, structura documentată a exploatației, dimensiunea economică SO, amplasamentul și investiția propusă. Rezultatul este orientativ până când ghidul final confirmă condițiile și documentele. O informație declarată, dar nesusținută de evidențele fermei, nu trebuie folosită pentru a promite încadrarea sau punctajul.","Agenția pentru Finanțarea Investițiilor Rurale (AFIR)","https://www.afir.ro/comunicate/consultare-publica-pentru-consolidarea-exploatatiilor-tinerilor-fermieri/","2026-07-22","GSC: clusterul DR 12 + întrebări recurente din trierea FABER"
"/dr14","Este deschis apelul DR 14?","Nu. AFIR a publicat la 6 august 2026 ghidul oficial final și anexele DR 14, însă nu a publicat încă intervalul oficial de depunere. Septembrie–octombrie 2026 este prezentat pe această pagină exclusiv ca perioadă estimativă de pregătire, până la anunțul de lansare AFIR.","Agenția pentru Finanțarea Investițiilor Rurale (AFIR)","https://www.afir.ro/domenii-de-interventie/detalii-si-anexe-dr-14/","2026-08-08","GSC: „dr14 afir 2026”, „dr 14 afir” și variante despre ghid"
"/dr14","Cum influențează SO încadrarea în DR 14?","SO exprimă dimensiunea economică a exploatației. Intervalul general DR 14 este 4.000–11.999 SO; pragul minim este 2.000 SO pentru exploatațiile zootehnice cu rase autohtone și pentru floricultură, plante aromatice, medicinale și ornamentale, respectiv 2.300 SO pentru legumicultură. Încadrarea se verifică împreună cu SO majoritar și evidențele APIA/ANSVSA.","Agenția pentru Finanțarea Investițiilor Rurale (AFIR)","https://www.afir.ro/domenii-de-interventie/detalii-si-anexe-dr-14/","2026-08-08","GSC: clusterul DR 14 + clusterul Calculator SO"
"/dr14","Ce documente pot schimba concluzia pentru DR 14?","Concluzia se poate schimba după verificarea actelor solicitantului, evidențelor APIA/ANSVSA, documentelor amplasamentului, calculului SO, istoricului exploatației, ofertelor și sursei contribuției proprii. Documentele trebuie să susțină aceleași suprafețe, efective, activități și investiții folosite în cererea de finanțare. Pentru utilaje se verifică și proporționalitatea tehnică, iar pentru punctaj se păstrează documentele care probează fiecare criteriu selectat.","Agenția pentru Finanțarea Investițiilor Rurale (AFIR)","https://www.afir.ro/domenii-de-interventie/detalii-si-anexe-dr-14/","2026-08-08","Întrebări recurente din trierea FABER + documentul oficial DR 14"
"/dr12-vs-dr14","Care este diferența dintre DR 12 și DR 14?","În documentele consultative verificate la 22 iulie 2026, DR 12 urmărește consolidarea exploatațiilor tinerilor fermieri instalați și ale fermierilor de până la 45 de ani, iar DR 14 vizează investițiile în ferme de mici dimensiuni. Alegerea nu se face doar după SO: profilul solicitantului, istoricul exploatației, investiția și documentele pot schimba încadrarea. Niciun apel nu este deschis.","Agenția pentru Finanțarea Investițiilor Rurale (AFIR); Agenția pentru Finanțarea Investițiilor Rurale (AFIR)","https://www.afir.ro/comunicate/consultare-publica-pentru-consolidarea-exploatatiilor-tinerilor-fermieri/; https://www.afir.ro/api/file?filename=Ghidul+Solicitantului+DR-14+VARIANTA+CONSULTATIV%C4%82&filetype=pdf&url=%2Fmedia%2Fbkmpo5fo%2Fgs-consultativ-dr-14.pdf","2026-07-22; 2026-07-22","GSC: clusterele DR 12 și DR 14 + întrebarea prioritară din brief"
"/dr12-vs-dr14","Ce documente pot schimba comparația dintre DR 12 și DR 14?","Comparația se poate schimba atunci când actele nu confirmă istoricul solicitantului, suprafețele sau efectivele folosite la SO, dreptul asupra amplasamentului ori investiția declarată. De aceea, o discuție inițială nu este un verdict. Documentele exploatației trebuie confruntate cu fiecare ghid, iar diferențele dintre datele declarate și evidențele oficiale se clarifică înainte de alegerea intervenției.","Agenția pentru Finanțarea Investițiilor Rurale (AFIR); Agenția pentru Finanțarea Investițiilor Rurale (AFIR)","https://www.afir.ro/comunicate/consultare-publica-pentru-consolidarea-exploatatiilor-tinerilor-fermieri/; https://www.afir.ro/api/file?filename=Ghidul+Solicitantului+DR-14+VARIANTA+CONSULTATIV%C4%82&filetype=pdf&url=%2Fmedia%2Fbkmpo5fo%2Fgs-consultativ-dr-14.pdf","2026-07-22; 2026-07-22","Întrebări recurente din trierea FABER + documentele oficiale DR 12/DR 14"
"/dr12-vs-dr14","Poate fi ales programul doar după rezultatul SO?","Nu. SO măsoară dimensiunea economică a exploatației prin valorile standard asociate culturilor și animalelor, dar nu confirmă singur programul potrivit. Rezultatul trebuie corelat cu profilul solicitantului, condițiile intervenției, amplasamentul, investiția și documentele fermei. Pentru DR 12 și DR 14, pragurile și regulile aplicabile rămân de reconfirmat în forma finală a ghidurilor.","Eurostat; Agenția pentru Finanțarea Investițiilor Rurale (AFIR)","https://ec.europa.eu/eurostat/web/agriculture/database/additional-data; https://www.afir.ro/comunicare/utile/dezbatere-publica/","2026-07-22; 2026-07-22","GSC: „calculator so”, „formula de calcul so” + întrebarea prioritară din brief"
"/calculator-soc","Cum se calculează SO și ce documente îl dovedesc?","SO total se obține prin înmulțirea suprafeței sau a numărului de animale din fiecare categorie cu coeficientul Standard Output aplicabil, apoi prin însumarea rezultatelor. Calculul trebuie confruntat cu evidențele agricole și zootehnice cerute de ghid, nu doar cu date introduse manual. Coeficienții și documentele acceptate pentru o sesiune se reconfirmă în sursa AFIR aplicabilă.","Eurostat; Agenția pentru Finanțarea Investițiilor Rurale (AFIR)","https://ec.europa.eu/eurostat/web/agriculture/database/additional-data; https://www.afir.ro/comunicare/utile/dezbatere-publica/","2026-07-22; 2026-07-22","GSC: „calculator so”, „formula de calcul so”, „coeficienți so” + întrebarea prioritară"
