priority,route,before_title,after_title,before_description,after_description,before_og_title,after_og_title,before_og_description,after_og_description,title_characters,title_estimated_width_px,description_characters,factual_status,last_reviewed
1,"/","Consultanță și proiectare fonduri europene | FABER","Consultanță și proiectare fonduri europene | FABER","FABER oferă consultanță și proiectare pentru proiecte cu fonduri europene: eligibilitate, cereri de finanțare, documentații tehnice și implementare.","FABER oferă consultanță și proiectare pentru proiecte cu fonduri europene: eligibilitate, cereri de finanțare, documentații tehnice și implementare.","Consultanță și proiectare fonduri europene | FABER","Consultanță și proiectare pentru proiecte | FABER","Consultanță și proiectare pentru firme, fermieri, organizații și autorități publice care pregătesc proiecte finanțate.","De la verificarea eligibilității la documentații tehnice și implementare, FABER sprijină pregătirea proiectelor pe baza regulilor aplicabile.",50,375,148,"evergreen_service_scope_verified","2026-07-13"
2,"/verificare-eligibilitate-fonduri-europene","Verificare eligibilitate fonduri europene","Verificare eligibilitate fonduri europene | FABER","Verificare inițială pentru fonduri europene: firmă, CAEN, localitate, investiție, buget, cofinanțare, documente și program potrivit.","Verificăm solicitantul, codul CAEN, locația, investiția, bugetul, cofinanțarea și documentele înainte de alegerea programului.","Verificare eligibilitate fonduri europene","Verifică eligibilitatea proiectului | FABER","Verificare inițială pentru fonduri europene: firmă, CAEN, localitate, investiție, buget, cofinanțare, documente și program potrivit.","Analizăm solicitantul, CAEN-ul, locația, investiția, bugetul, cofinanțarea și documentele înainte de alegerea unui program.",49,352,126,"evergreen_service_scope_verified","2026-07-13"
3,"/calculator-soc","calculator SO AFIR | ghid AFIR","Calculator SO AFIR 2026 pentru DR12 și DR14 | FABER","calculator SO AFIR: documente AFIR, SO/SOC, eligibilitate, investiții, cofinanțare și riscuri de verificat înainte de depunere.","Calculează orientativ dimensiunea economică SO pentru exploatația vegetală sau zootehnică și verifică încadrarea pentru DR12 și DR14.","calculator SO AFIR | ghid AFIR","Calculează SO pentru DR12 și DR14 | FABER","calculator SO AFIR: documente AFIR, SO/SOC, eligibilitate, investiții, cofinanțare și riscuri de verificat înainte de depunere.","Introdu datele exploatației vegetale sau zootehnice pentru un calcul SO orientativ, apoi verifică pragurile în ghidul AFIR aplicabil.",51,381,133,"orientative_calculator_active_afir_rules_require_confirmation","2026-07-13"
4,"/femeia-antreprenor-2026","Femeia Antreprenor 2026 | ghid FABER","Femeia Antreprenor 2026: condiții, buget și punctaj","Femeia Antreprenor 2026: ghid practic despre fonduri europene, eligibilitate, documente, buget, cofinanțare și riscuri de verificat.","Verifică acționariatul, CAEN-ul, bugetul, punctajul și documentele pentru Femeia Antreprenor; condițiile ediției 2026 se confirmă în sursa oficială.","Femeia Antreprenor 2026 | ghid FABER","Femeia Antreprenor 2026: pregătirea dosarului","Femeia Antreprenor 2026: ghid practic despre fonduri europene, eligibilitate, documente, buget, cofinanțare și riscuri de verificat.","Pregătește datele firmei, acționariatul, CAEN-ul, bugetul și documentele; regulile ediției 2026 se confirmă numai în sursa oficială.",51,379,148,"official_national_program_source_2026_rules_unconfirmed","2026-07-13"
5,"/dr12-afir","DR12 AFIR 2026: ghid, lansare, eligibilitate și acte | FABER","DR12 AFIR 2026: eligibilitate, sprijin și acte | FABER","DR12 AFIR 2026: status ghid, lansare, eligibilitate, minimum 12.000 SO, sprijin 80%/65% și acte APIA, ANSVSA, ANZ și ONRC.","DR12 pentru tineri fermieri: eligibilitate, minimum 12.000 SO, sprijin și acte. Valorile sunt din ghidul consultativ și se reconfirmă la lansare.","DR12 AFIR 2026: ghid, lansare, eligibilitate și acte | FABER","DR12 AFIR 2026 pentru tineri fermieri | FABER","DR12 AFIR 2026: status ghid, lansare, eligibilitate, minimum 12.000 SO, sprijin 80%/65% și acte APIA, ANSVSA, ANZ și ONRC.","Verifică solicitantul, pragul SO, investiția și actele DR12. Datele publicate provin din forma consultativă și se reconfirmă la lansare.",54,377,145,"consultative_afir_guide_not_final","2026-07-13"
6,"/dr14","DR14 AFIR 2026: ferme mici, condiții și calculator SO | FABER","DR14 AFIR 2026: condiții, praguri SO și acte | FABER","DR14 AFIR 2026 pentru ferme mici: status apel, condiții, praguri SO pe sectoare, patru componente, acte, cofinanțare și calculator SO.","DR14 pentru ferme mici: praguri SO diferențiate, componente, investiții și acte. Valorile sunt din ghidul consultativ și se reconfirmă la lansare.","DR14 AFIR 2026: ferme mici, condiții și calculator SO | FABER","DR14 AFIR 2026 pentru ferme mici | FABER","DR14 AFIR 2026 pentru ferme mici: status apel, condiții, praguri SO pe sectoare, patru componente, acte, cofinanțare și calculator SO.","Verifică pragurile SO, componenta, investiția și actele DR14. Valorile provin din ghidul consultativ și se reconfirmă înainte de depunere.",52,374,146,"consultative_afir_guide_not_final","2026-07-13"
7,"/por-adr-nord-est","Programul Regional Nord-Est: apeluri pentru IMM | FABER","Programul Regional Nord-Est pentru IMM | FABER","Programul Regional Nord-Est 2021–2027: orientare pentru IMM și microîntreprinderi privind apelurile, județele, CAEN, amplasamentul și documentele.","Apeluri pentru IMM și microîntreprinderi din Nord-Est: verifică județul, CAEN-ul, amplasamentul, bugetul, cofinanțarea și documentele.","Programul Regional Nord-Est: apeluri pentru IMM | FABER","Apeluri pentru IMM în Programul Regional Nord-Est","Programul Regional Nord-Est 2021–2027: orientare pentru IMM și microîntreprinderi privind apelurile, județele, CAEN, amplasamentul și documentele.","Pornește de la județ, CAEN, amplasament, buget și documente pentru a identifica apelul regional relevant, apoi verifică ghidul activ.",46,355,134,"official_program_portal_current_call_rules_require_confirmation","2026-07-13"
8,"/contact","Contact FABER | verificare eligibilitate","Contact FABER pentru eligibilitate și proiecte","Trimite datele proiectului către FABER: solicitant, CAEN, localitate, investiție, buget, cofinanțare și documente disponibile.","Trimite datele proiectului către FABER: solicitant, CAEN, localitate, investiție, buget, cofinanțare și documente disponibile pentru analiză.","Contact FABER | verificare eligibilitate","Trimite proiectul pentru o analiză inițială | FABER","Trimite datele proiectului către FABER: solicitant, CAEN, localitate, investiție, buget, cofinanțare și documente disponibile.","Spune-ne cine aplică, unde se face investiția, ce buget și documente există, pentru a clarifica pașii următori fără promisiuni de aprobare.",46,335,141,"operational_contact_process_verified","2026-07-13"
9,"/e-move","e-MOVE RO | ghid FABER","e-MOVE RO: stații de încărcare și stocare | FABER","e-MOVE RO: eligibilitate, consum, amplasament, avize, buget, cofinanțare și documente pentru proiecte de energie. Include documente, buget, cofinanțare și.","Schema e-MOVE RO aflată în consultare: stații de încărcare, energie regenerabilă, stocare, solicitanți și documente pentru pregătire.","e-MOVE RO | ghid FABER","e-MOVE RO pentru mobilitate electrică | FABER","e-MOVE RO: eligibilitate, consum, amplasament, avize, buget, cofinanțare și documente pentru proiecte de energie. Include documente, buget, cofinanțare și.","Analizează amplasamentul, racordarea, stațiile de încărcare, energia și stocarea pe baza ghidului e-MOVE RO publicat în consultare.",49,361,133,"public_consultation_guide_not_final","2026-07-13"
10,"/despre-faber","Despre FABER | Atelier de Consultanță","Despre FABER: consultanță prudentă pentru proiecte","Despre FABER - Atelier de Consultanță: eligibilitate verificată, program potrivit, dosar coerent și prudență editorială.","Cum verifică FABER eligibilitatea, programul, bugetul și documentele, cu surse oficiale, limite clare și fără promisiuni de aprobare.","Despre FABER | Atelier de Consultanță","Cum lucrează FABER | Atelier de Consultanță","Despre FABER - Atelier de Consultanță: eligibilitate verificată, program potrivit, dosar coerent și prudență editorială.","Descoperă metoda FABER: verificări pe documente, surse oficiale, limite explicite și recomandări prudente înainte de pregătirea dosarului.",50,386,133,"brand_methodology_copy_verified","2026-07-13"
