"url","route","source_file","template_or_generator","h1","title","description","canonical","structured_data_types","primary_cta","internal_link_count","form_count","robots","index_status"
"https://atelierdeconsultanta.ro/","/","index.html","HTML static manual","Consultanță fonduri europene cu eligibilitate verificată","FABER | Consultanță fonduri europene","FABER verifică eligibilitatea, programul potrivit și dosarul pentru firme, fermieri, IMM-uri, start-up-uri și instituții publice.","https://atelierdeconsultanta.ro/","Organization; WebSite; WebPage; BreadcrumbList; FAQPage","Solicită verificare eligibilitate","42","2","index, follow","indexable"
"https://atelierdeconsultanta.ro/apeluri-gal","/apeluri-gal","apeluri-gal/index.html","config/seo-programs.json + tools/generate-program-pages.js","Apeluri GAL: ce sunt și cum se verifică","Apeluri GAL | cum se verifică","Apeluri GAL: ce sunt, cum identifici GAL-ul local, cum citești SDL, fișa intervenției, ghidul local, criteriile și bugetul.","https://atelierdeconsultanta.ro/apeluri-gal","Organization; WebSite; WebPage; BreadcrumbList; FAQPage; Article; GovernmentService","Solicită verificare eligibilitate","11","0","index, follow","indexable"
"https://atelierdeconsultanta.ro/consultanta-fonduri-europene","/consultanta-fonduri-europene","consultanta-fonduri-europene/index.html","config/seo-programs.json + tools/generate-program-pages.js","Consultanță pentru fonduri europene","Consultanță fonduri europene | FABER","Consultanță pentru fonduri europene: eligibilitate, program potrivit, strategie de punctaj, dosar, clarificări și implementare.","https://atelierdeconsultanta.ro/consultanta-fonduri-europene","Organization; WebSite; WebPage; BreadcrumbList; FAQPage; Article; Service","Solicită verificare eligibilitate","25","0","index, follow","indexable"
"https://atelierdeconsultanta.ro/digitalizare-imm","/digitalizare-imm","digitalizare-imm/index.html","config/seo-programs.json + tools/generate-program-pages.js","Digitalizare IMM: ERP, CRM, cloud și securitate","Digitalizare IMM | ERP, CRM, cloud","Digitalizare IMM: ERP, CRM, cloud, securitate cibernetică, echipamente IT, servicii și legătura cheltuielilor cu activitatea firmei.","https://atelierdeconsultanta.ro/digitalizare-imm","Organization; WebSite; WebPage; BreadcrumbList; FAQPage; Article; GovernmentService","Solicită verificare eligibilitate","16","0","index, follow","indexable"
"https://atelierdeconsultanta.ro/dr12-afir","/dr12-afir","dr12-afir/index.html","config/seo-programs.json + tools/generate-program-pages.js","DR12 AFIR: consolidarea exploatatiilor tinerilor fermieri","DR12 AFIR | consolidarea exploatatiilor tinerilor fermieri","DR12 AFIR explicat practic: cine poate aplica, finanțare maxima, intensitate, condiții de exploatație, documente și riscuri de eligibilitate pentru tineri fermieri.","https://atelierdeconsultanta.ro/dr12-afir","Organization; WebSite; WebPage; BreadcrumbList; FAQPage; Article; GovernmentService","Solicită verificare eligibilitate","14","0","index, follow","indexable"
"https://atelierdeconsultanta.ro/dr14","/dr14","dr14/index.html","config/seo-programs.json + tools/generate-program-pages.js","DR14 AFIR: investiții pentru ferme mici","DR14 AFIR | investiții pentru ferme mici","DR14 AFIR explicat pentru ferme mici: cine poate aplica, pragul de 50.000 euro, intensitate de până la 85%, documente, SO și riscuri de eligibilitate.","https://atelierdeconsultanta.ro/dr14","Organization; WebSite; WebPage; BreadcrumbList; FAQPage; Article; GovernmentService","Solicită verificare eligibilitate","13","0","index, follow","indexable"
"https://atelierdeconsultanta.ro/e-move","/e-move","e-move/index.html","config/seo-programs.json + tools/generate-program-pages.js","e-MOVE RO: statii de încărcare, energie regenerabilă și stocare","e-MOVE RO | statii de încărcare și energie regenerabilă","e-MOVE RO explicat: finanțare pentru infrastructura de încărcare electrică, producție de energie regenerabilă și stocare, solicitanti eligibili și documente.","https://atelierdeconsultanta.ro/e-move","Organization; WebSite; WebPage; BreadcrumbList; FAQPage; Article; GovernmentService","Solicită verificare eligibilitate","13","0","index, follow","indexable"
"https://atelierdeconsultanta.ro/fonduri-europene","/fonduri-europene","fonduri-europene/index.html","config/seo-programs.json + tools/generate-program-pages.js","Fonduri europene: programe, eligibilitate și ghiduri","Fonduri europene pentru firme și fermieri","Hub pentru fonduri europene: programe pentru IMM-uri, fermieri, instituții publice, energie, digitalizare, GAL, AFIR și PNRR.","https://atelierdeconsultanta.ro/fonduri-europene","Organization; WebSite; WebPage; BreadcrumbList; FAQPage; Article","Solicită verificare eligibilitate","22","0","index, follow","indexable"
"https://atelierdeconsultanta.ro/investitii-modernizarea-microintreprinderilor-apel-2","/investitii-modernizarea-microintreprinderilor-apel-2","investitii-modernizarea-microintreprinderilor-apel-2/index.html","config/seo-programs.json + tools/generate-program-pages.js","Modernizarea microintreprinderilor - Apel 2 Nord-Est","Modernizarea microintreprinderilor Apel 2 | Nord-Est","Programul Regional Nord-Est Apel 2 pentru modernizarea microintreprinderilor: grant 100.000-300.000 euro, intensitate 90%, eligibilitate și documente.","https://atelierdeconsultanta.ro/investitii-modernizarea-microintreprinderilor-apel-2","Organization; WebSite; WebPage; BreadcrumbList; FAQPage; Article; GovernmentService","Solicită verificare eligibilitate","13","0","index, follow","indexable"
"https://atelierdeconsultanta.ro/pocidif-21","/pocidif-21","pocidif-21/index.html","config/seo-programs.json + tools/generate-program-pages.js","PoCIDIF 2.1: inovare și tehnologii avansate pentru IMM din TIC","PoCIDIF 2.1 | inovare digitala pentru IMM din TIC","PoCIDIF 2.1 explicat: granturi pentru dezvoltarea de servicii, aplicatii și produse digitale inovatoare de către IMM din sectorul TIC.","https://atelierdeconsultanta.ro/pocidif-21","Organization; WebSite; WebPage; BreadcrumbList; FAQPage; Article; GovernmentService","Solicită verificare eligibilitate","15","0","index, follow","indexable"
"https://atelierdeconsultanta.ro/pro-infra","/pro-infra","pro-infra/index.html","config/seo-programs.json + tools/generate-program-pages.js","PRO INFRA: producție pentru infrastructura de transport","PRO INFRA | producție pentru infrastructura de transport","PRO INFRA explicat: finanțare pentru producție, materiale, echipamente și tehnologii necesare infrastructurii de transport, cu grant maxim consultativ de 15 milioane euro.","https://atelierdeconsultanta.ro/pro-infra","Organization; WebSite; WebPage; BreadcrumbList; FAQPage; Article; GovernmentService","Solicită verificare eligibilitate","14","0","index, follow","indexable"
"https://atelierdeconsultanta.ro/start-up-nation-2026","/start-up-nation-2026","start-up-nation-2026/index.html","config/seo-programs.json + tools/generate-program-pages.js","Start-Up Nation: condiții, cheltuieli eligibile și plan de afaceri","Start-Up Nation | condiții, cheltuieli eligibile și plan","Start-Up Nation explicat pe baza regulilor publicate pentru editia 2024: grant 250.000 lei, intensitate 90%, locuri de munca, cheltuieli și verificări utile.","https://atelierdeconsultanta.ro/start-up-nation-2026","Organization; WebSite; WebPage; BreadcrumbList; FAQPage; Article; GovernmentService","Solicită verificare eligibilitate","12","0","index, follow","indexable"
"https://atelierdeconsultanta.ro/blog","/blog","blog/index.html","HTML static manual","Blog despre fonduri europene, finanțări nerambursabile și programe pentru beneficiari reali","Blog fonduri europene | FABER","Articole FABER despre fonduri europene, AFIR, GAL, Start-Up Nation, digitalizare, energie, documente, cofinanțare și riscuri.","https://atelierdeconsultanta.ro/blog","Blog; FAQPage","Verifică situația ta concretă","38","0","index, follow","indexable"
"https://atelierdeconsultanta.ro/despre-faber","/despre-faber","despre-faber/index.html","HTML static sau output generator existent","Despre FABER - Atelier de Consultanță","Despre FABER | Atelier de Consultanță","Despre FABER - Atelier de Consultanță: eligibilitate verificată, program potrivit, dosar coerent și prudență editorială.","https://atelierdeconsultanta.ro/despre-faber","Organization; WebSite; AboutPage; BreadcrumbList; FAQPage","Contact","10","0","index, follow","indexable"
"https://atelierdeconsultanta.ro/glosar-fonduri-europene","/glosar-fonduri-europene","glosar-fonduri-europene/index.html","HTML static sau output generator existent","Glosar fonduri europene: termeni explicati simplu","Glosar fonduri europene: termeni explicati simplu","Glosar fonduri europene cu definitii scurte pentru solicitant, beneficiar, eligibilitate, cofinanțare, punctaj, CAEN, IMM, ajutor de minimis și ajutor de stat.","https://atelierdeconsultanta.ro/glosar-fonduri-europene","Organization; WebSite; WebPage; DefinedTermSet; BreadcrumbList","Solicită verificare eligibilitate","11","0","index, follow","indexable"
